id,type,part,parent,movie,from,to,param,target,classes,colonne,rang,width,height,texte
1,part,0,,,,,,,,,,,,Prologue
2,video,0,,1,00:00:00,00:04:14,,,,,,,,
3,text,0,,,00:14:40,00:17:08,,#bloc1,"size4,center,bold",6,5,14,3,A Richer Dust
4,text,0,3,,00:14:40,00:17:08,,#bloc2,"size1,center,bold",8,9,10,2,"Symphonie n°1 pour narrateurs et orchestre à vents
une proposition entre musique et arts visuels"
5,text,0,3,,00:14:40,00:17:08,delay:2,#bloc3,"size1,bold",8,11,3,1,Nigel Clarck
6,text,0,3,,00:14:40,00:17:08,delay:2,#bloc4,"size1,bold",15,11,4,1,Malene Sheppard
7,clear,0,,,00:17:08,,all,,,,,,,
8,part,1,,,,,,,,,,,,I.Still We Drudge in this Dark Maze
9,video,1,,1,00:00:00,00:04:14,,,,,,,,
10,text,1,,,00:00:00,00:00:05,,#bloc2,,,,,,I.Still We Drudge in this Dark Maze
11,key,1,,,00:04:00,,,,,,,,,
12,text,1,,,00:04:13,00:04:14,,#bloc1,size1,1,2,4,3,hear me—
13,text,1,12,,00:04:15,00:04:27,,#bloc2,size2,4,2,10,1,"ten, nine, eight, seven, six, five, four, three, two, one…"
14,light,1,12,,/,/,"from:0,to:100",,,,,,,
15,text,1,12,,00:04:29,00:04:36,,#bloc3,size3,21,2,4,5,"maimed civilians<br>killed, murdered<br>unknown numbers<br>soldiers missing too"
16,text,1,12,,00:04:37,00:04:45,,#bloc4,size4,1,2,21,2,horror terror violence war
17,text,1,,,00:04:48,00:04:51,,#bloc1,,21,2,4,1,if only it was someone else’s son
18,text,1,,,00:04:52,00:04:54,,#bloc1,,1,2,4,1,mother screams
19,text,1,,,00:04:58,00:04:59,,#bloc1,,6,2,4,1,listen to me
20,text,1,,,00:05:02,00:05:05,,#bloc1,,21,2,4,1,war is the health of the state
21,text,1,,,00:05:17,00:05:25,,#bloc1,,1,2,4,2,dirtied bloodied stinking
22,text,1,,,00:05:31,00:05:33,,#bloc1,,1,2,4,1,prepare war for peace
23,text,1,,,00:05:35,00:05:43,,#bloc1,,6,2,4,4,"who do you believe ?
who do you choose to follow ?
what to believe ?"
24,text,1,,,00:05:45,00:05:49,,#bloc1,,1,2,4,1,"prepare for peace, avoid war"
25,text,1,,,00:05:55,00:05:57,,#bloc1,,21,2,4,1,we tortured some folks
26,text,1,,,00:06:31,00:06:38,,#bloc1,,1,2,21,2,justify validate execute
27,text,1,,,00:06:39,00:06:42,,#bloc1,,1,2,4,1,third world starves
